ip,country,region_code
10.0.0.0,US,NA
10.0.1.3,IN,EU
10.0.2.6,DE,APAC
10.0.3.9,GB,LATAM
10.0.4.12,BR,NA
10.0.5.15,JP,EU
10.0.6.18,US,APAC
10.0.7.21,IN,LATAM
10.0.8.24,DE,NA
10.0.9.27,GB,EU
10.0.10.30,BR,APAC
10.0.11.33,JP,LATAM
10.0.12.36,US,NA
10.0.13.39,IN,EU
10.0.14.42,DE,APAC
10.0.15.45,GB,LATAM
10.0.16.48,BR,NA
10.0.17.51,JP,EU
10.0.18.54,US,APAC
10.0.19.57,IN,LATAM
10.0.20.60,DE,NA
10.0.21.63,GB,EU
10.0.22.66,BR,APAC
10.0.23.69,JP,LATAM
10.0.24.72,US,NA
10.0.25.75,IN,EU
10.0.26.78,DE,APAC
10.0.27.81,GB,LATAM
10.0.28.84,BR,NA
10.0.29.87,JP,EU
10.0.30.90,US,APAC
10.0.31.93,IN,LATAM
10.0.32.96,DE,NA
10.0.33.99,GB,EU
10.0.34.102,BR,APAC
10.0.35.105,JP,LATAM
10.0.36.108,US,NA
10.0.37.111,IN,EU
10.0.38.114,DE,APAC
10.0.39.117,GB,LATAM
10.0.40.120,BR,NA
10.0.41.123,JP,EU
10.0.42.126,US,APAC
10.0.43.129,IN,LATAM
10.0.44.132,DE,NA
10.0.45.135,GB,EU
10.0.46.138,BR,APAC
10.0.47.141,JP,LATAM
10.0.48.144,US,NA
10.0.49.147,IN,EU
10.0.50.150,DE,APAC
10.0.51.153,GB,LATAM
10.0.52.156,BR,NA
10.0.53.159,JP,EU
10.0.54.162,US,APAC
10.0.55.165,IN,LATAM
10.0.56.168,DE,NA
10.0.57.171,GB,EU
10.0.58.174,BR,APAC
10.0.59.177,JP,LATAM
10.0.60.180,US,NA
10.0.61.183,IN,EU
10.0.62.186,DE,APAC
10.0.63.189,GB,LATAM
10.0.64.192,BR,NA
10.0.65.195,JP,EU
10.0.66.198,US,APAC
10.0.67.201,IN,LATAM
10.0.68.204,DE,NA
10.0.69.207,GB,EU
10.0.70.210,BR,APAC
10.0.71.213,JP,LATAM
10.0.72.216,US,NA
10.0.73.219,IN,EU
10.0.74.222,DE,APAC
10.0.75.225,GB,LATAM
10.0.76.228,BR,NA
10.0.77.231,JP,EU
10.0.78.234,US,APAC
10.0.79.237,IN,LATAM
10.0.80.240,DE,NA
10.0.81.243,GB,EU
10.0.82.246,BR,APAC
10.0.83.249,JP,LATAM
10.0.84.252,US,NA
10.0.85.255,IN,EU
10.0.86.2,DE,APAC
10.0.87.5,GB,LATAM
10.0.88.8,BR,NA
10.0.89.11,JP,EU
10.0.90.14,US,APAC
10.0.91.17,IN,LATAM
10.0.92.20,DE,NA
10.0.93.23,GB,EU
10.0.94.26,BR,APAC
10.0.95.29,JP,LATAM
10.0.96.32,US,NA
10.0.97.35,IN,EU
10.0.98.38,DE,APAC
10.0.99.41,GB,LATAM
10.0.100.44,BR,NA
10.0.101.47,JP,EU
10.0.102.50,US,APAC
10.0.103.53,IN,LATAM
10.0.104.56,DE,NA
10.0.105.59,GB,EU
10.0.106.62,BR,APAC
10.0.107.65,JP,LATAM
10.0.108.68,US,NA
10.0.109.71,IN,EU
10.0.110.74,DE,APAC
10.0.111.77,GB,LATAM
10.0.112.80,BR,NA
10.0.113.83,JP,EU
10.0.114.86,US,APAC
10.0.115.89,IN,LATAM
10.0.116.92,DE,NA
10.0.117.95,GB,EU
10.0.118.98,BR,APAC
10.0.119.101,JP,LATAM
10.0.120.104,US,NA
10.0.121.107,IN,EU
10.0.122.110,DE,APAC
10.0.123.113,GB,LATAM
10.0.124.116,BR,NA
10.0.125.119,JP,EU
10.0.126.122,US,APAC
10.0.127.125,IN,LATAM
10.0.128.128,DE,NA
10.0.129.131,GB,EU
10.0.130.134,BR,APAC
10.0.131.137,JP,LATAM
10.0.132.140,US,NA
10.0.133.143,IN,EU
10.0.134.146,DE,APAC
10.0.135.149,GB,LATAM
10.0.136.152,BR,NA
10.0.137.155,JP,EU
10.0.138.158,US,APAC
10.0.139.161,IN,LATAM
10.0.140.164,DE,NA
10.0.141.167,GB,EU
10.0.142.170,BR,APAC
10.0.143.173,JP,LATAM
10.0.144.176,US,NA
10.0.145.179,IN,EU
10.0.146.182,DE,APAC
10.0.147.185,GB,LATAM
10.0.148.188,BR,NA
10.0.149.191,JP,EU
10.0.150.194,US,APAC
10.0.151.197,IN,LATAM
10.0.152.200,DE,NA
10.0.153.203,GB,EU
10.0.154.206,BR,APAC
10.0.155.209,JP,LATAM
10.0.156.212,US,NA
10.0.157.215,IN,EU
10.0.158.218,DE,APAC
10.0.159.221,GB,LATAM
10.0.160.224,BR,NA
10.0.161.227,JP,EU
10.0.162.230,US,APAC
10.0.163.233,IN,LATAM
10.0.164.236,DE,NA
10.0.165.239,GB,EU
10.0.166.242,BR,APAC
10.0.167.245,JP,LATAM
10.0.168.248,US,NA
10.0.169.251,IN,EU
10.0.170.254,DE,APAC
10.0.171.1,GB,LATAM
10.0.172.4,BR,NA
10.0.173.7,JP,EU
10.0.174.10,US,APAC
10.0.175.13,IN,LATAM
10.0.176.16,DE,NA
10.0.177.19,GB,EU
10.0.178.22,BR,APAC
10.0.179.25,JP,LATAM
10.0.180.28,US,NA
10.0.181.31,IN,EU
10.0.182.34,DE,APAC
10.0.183.37,GB,LATAM
10.0.184.40,BR,NA
10.0.185.43,JP,EU
10.0.186.46,US,APAC
10.0.187.49,IN,LATAM
10.0.188.52,DE,NA
10.0.189.55,GB,EU
10.0.190.58,BR,APAC
10.0.191.61,JP,LATAM
10.0.192.64,US,NA
10.0.193.67,IN,EU
10.0.194.70,DE,APAC
10.0.195.73,GB,LATAM
10.0.196.76,BR,NA
10.0.197.79,JP,EU
10.0.198.82,US,APAC
10.0.199.85,IN,LATAM
10.0.200.88,DE,NA
10.0.201.91,GB,EU
10.0.202.94,BR,APAC
10.0.203.97,JP,LATAM
10.0.204.100,US,NA
10.0.205.103,IN,EU
10.0.206.106,DE,APAC
10.0.207.109,GB,LATAM
10.0.208.112,BR,NA
10.0.209.115,JP,EU
10.0.210.118,US,APAC
10.0.211.121,IN,LATAM
10.0.212.124,DE,NA
10.0.213.127,GB,EU
10.0.214.130,BR,APAC
10.0.215.133,JP,LATAM
10.0.216.136,US,NA
10.0.217.139,IN,EU
10.0.218.142,DE,APAC
10.0.219.145,GB,LATAM
10.0.220.148,BR,NA
10.0.221.151,JP,EU
10.0.222.154,US,APAC
10.0.223.157,IN,LATAM
10.0.224.160,DE,NA
10.0.225.163,GB,EU
10.0.226.166,BR,APAC
10.0.227.169,JP,LATAM
10.0.228.172,US,NA
10.0.229.175,IN,EU
10.0.230.178,DE,APAC
10.0.231.181,GB,LATAM
10.0.232.184,BR,NA
10.0.233.187,JP,EU
10.0.234.190,US,APAC
10.0.235.193,IN,LATAM
10.0.236.196,DE,NA
10.0.237.199,GB,EU
10.0.238.202,BR,APAC
10.0.239.205,JP,LATAM
10.0.240.208,US,NA
10.0.241.211,IN,EU
10.0.242.214,DE,APAC
10.0.243.217,GB,LATAM
10.0.244.220,BR,NA
10.0.245.223,JP,EU
10.0.246.226,US,APAC
10.0.247.229,IN,LATAM
10.0.248.232,DE,NA
10.0.249.235,GB,EU
10.0.250.238,BR,APAC
10.0.251.241,JP,LATAM
10.0.252.244,US,NA
10.0.253.247,IN,EU
10.0.254.250,DE,APAC
10.0.255.253,GB,LATAM
10.1.0.0,BR,NA
10.1.1.3,JP,EU
10.1.2.6,US,APAC
10.1.3.9,IN,LATAM
10.1.4.12,DE,NA
10.1.5.15,GB,EU
10.1.6.18,BR,APAC
10.1.7.21,JP,LATAM
10.1.8.24,US,NA
10.1.9.27,IN,EU
10.1.10.30,DE,APAC
10.1.11.33,GB,LATAM
10.1.12.36,BR,NA
10.1.13.39,JP,EU
10.1.14.42,US,APAC
10.1.15.45,IN,LATAM
10.1.16.48,DE,NA
10.1.17.51,GB,EU
10.1.18.54,BR,APAC
10.1.19.57,JP,LATAM
10.1.20.60,US,NA
10.1.21.63,IN,EU
10.1.22.66,DE,APAC
10.1.23.69,GB,LATAM
10.1.24.72,BR,NA
10.1.25.75,JP,EU
10.1.26.78,US,APAC
10.1.27.81,IN,LATAM
10.1.28.84,DE,NA
10.1.29.87,GB,EU
10.1.30.90,BR,APAC
10.1.31.93,JP,LATAM
10.1.32.96,US,NA
10.1.33.99,IN,EU
10.1.34.102,DE,APAC
10.1.35.105,GB,LATAM
10.1.36.108,BR,NA
10.1.37.111,JP,EU
10.1.38.114,US,APAC
10.1.39.117,IN,LATAM
10.1.40.120,DE,NA
10.1.41.123,GB,EU
10.1.42.126,BR,APAC
10.1.43.129,JP,LATAM
10.1.44.132,US,NA
10.1.45.135,IN,EU
10.1.46.138,DE,APAC
10.1.47.141,GB,LATAM
10.1.48.144,BR,NA
10.1.49.147,JP,EU
10.1.50.150,US,APAC
10.1.51.153,IN,LATAM
10.1.52.156,DE,NA
10.1.53.159,GB,EU
10.1.54.162,BR,APAC
10.1.55.165,JP,LATAM
10.1.56.168,US,NA
10.1.57.171,IN,EU
10.1.58.174,DE,APAC
10.1.59.177,GB,LATAM
10.1.60.180,BR,NA
10.1.61.183,JP,EU
10.1.62.186,US,APAC
