sku,brand_code,region_code,stock_qty,reserved_qty,updated_at
PUMA-SKU-00001,PUMA,IN-WEST,5,0,2024-08-01
NIKE-SKU-00002,NIKE,IN-NORTH,6,1,2024-08-02
PUMA-SKU-00003,PUMA,IN-SOUTH,7,2,2024-08-03
NIKE-SKU-00004,NIKE,IN-EAST,8,3,2024-08-04
PUMA-SKU-00005,PUMA,IN-WEST,9,4,2024-08-05
NIKE-SKU-00006,NIKE,IN-NORTH,10,5,2024-08-06
PUMA-SKU-00007,PUMA,IN-SOUTH,11,6,2024-08-07
NIKE-SKU-00008,NIKE,IN-EAST,12,7,2024-08-08
PUMA-SKU-00009,PUMA,IN-WEST,13,8,2024-08-09
NIKE-SKU-00010,NIKE,IN-NORTH,14,9,2024-08-10
PUMA-SKU-00011,PUMA,IN-SOUTH,15,10,2024-08-11
NIKE-SKU-00012,NIKE,IN-EAST,16,11,2024-08-12
PUMA-SKU-00013,PUMA,IN-WEST,17,12,2024-08-13
NIKE-SKU-00014,NIKE,IN-NORTH,18,13,2024-08-14
PUMA-SKU-00015,PUMA,IN-SOUTH,19,14,2024-08-15
NIKE-SKU-00016,NIKE,IN-EAST,20,15,2024-08-16
PUMA-SKU-00017,PUMA,IN-WEST,21,16,2024-08-17
NIKE-SKU-00018,NIKE,IN-NORTH,22,17,2024-08-18
PUMA-SKU-00019,PUMA,IN-SOUTH,23,18,2024-08-19
NIKE-SKU-00020,NIKE,IN-EAST,24,19,2024-08-20
PUMA-SKU-00021,PUMA,IN-WEST,25,20,2024-08-21
NIKE-SKU-00022,NIKE,IN-NORTH,26,21,2024-08-22
PUMA-SKU-00023,PUMA,IN-SOUTH,27,22,2024-08-23
NIKE-SKU-00024,NIKE,IN-EAST,28,23,2024-08-24
PUMA-SKU-00025,PUMA,IN-WEST,29,24,2024-08-25
NIKE-SKU-00026,NIKE,IN-NORTH,30,25,2024-08-26
PUMA-SKU-00027,PUMA,IN-SOUTH,31,26,2024-08-27
NIKE-SKU-00028,NIKE,IN-EAST,32,27,2024-08-28
PUMA-SKU-00029,PUMA,IN-WEST,33,28,2024-08-01
NIKE-SKU-00030,NIKE,IN-NORTH,34,29,2024-08-02
PUMA-SKU-00031,PUMA,IN-SOUTH,35,30,2024-08-03
NIKE-SKU-00032,NIKE,IN-EAST,36,31,2024-08-04
PUMA-SKU-00033,PUMA,IN-WEST,37,32,2024-08-05
NIKE-SKU-00034,NIKE,IN-NORTH,38,33,2024-08-06
PUMA-SKU-00035,PUMA,IN-SOUTH,39,34,2024-08-07
NIKE-SKU-00036,NIKE,IN-EAST,40,35,2024-08-08
PUMA-SKU-00037,PUMA,IN-WEST,41,36,2024-08-09
NIKE-SKU-00038,NIKE,IN-NORTH,42,37,2024-08-10
PUMA-SKU-00039,PUMA,IN-SOUTH,43,38,2024-08-11
NIKE-SKU-00040,NIKE,IN-EAST,44,39,2024-08-12
PUMA-SKU-00041,PUMA,IN-WEST,45,40,2024-08-13
NIKE-SKU-00042,NIKE,IN-NORTH,46,41,2024-08-14
PUMA-SKU-00043,PUMA,IN-SOUTH,47,42,2024-08-15
NIKE-SKU-00044,NIKE,IN-EAST,48,43,2024-08-16
PUMA-SKU-00045,PUMA,IN-WEST,49,44,2024-08-17
NIKE-SKU-00046,NIKE,IN-NORTH,50,45,2024-08-18
PUMA-SKU-00047,PUMA,IN-SOUTH,51,46,2024-08-19
NIKE-SKU-00048,NIKE,IN-EAST,52,47,2024-08-20
PUMA-SKU-00049,PUMA,IN-WEST,53,48,2024-08-21
NIKE-SKU-00050,NIKE,IN-NORTH,54,49,2024-08-22
PUMA-SKU-00051,PUMA,IN-SOUTH,55,0,2024-08-23
NIKE-SKU-00052,NIKE,IN-EAST,56,1,2024-08-24
PUMA-SKU-00053,PUMA,IN-WEST,57,2,2024-08-25
NIKE-SKU-00054,NIKE,IN-NORTH,58,3,2024-08-26
PUMA-SKU-00055,PUMA,IN-SOUTH,59,4,2024-08-27
NIKE-SKU-00056,NIKE,IN-EAST,60,5,2024-08-28
PUMA-SKU-00057,PUMA,IN-WEST,61,6,2024-08-01
NIKE-SKU-00058,NIKE,IN-NORTH,62,7,2024-08-02
PUMA-SKU-00059,PUMA,IN-SOUTH,63,8,2024-08-03
NIKE-SKU-00060,NIKE,IN-EAST,64,9,2024-08-04
PUMA-SKU-00061,PUMA,IN-WEST,65,10,2024-08-05
NIKE-SKU-00062,NIKE,IN-NORTH,66,11,2024-08-06
PUMA-SKU-00063,PUMA,IN-SOUTH,67,12,2024-08-07
NIKE-SKU-00064,NIKE,IN-EAST,68,13,2024-08-08
PUMA-SKU-00065,PUMA,IN-WEST,69,14,2024-08-09
NIKE-SKU-00066,NIKE,IN-NORTH,70,15,2024-08-10
PUMA-SKU-00067,PUMA,IN-SOUTH,71,16,2024-08-11
NIKE-SKU-00068,NIKE,IN-EAST,72,17,2024-08-12
PUMA-SKU-00069,PUMA,IN-WEST,73,18,2024-08-13
NIKE-SKU-00070,NIKE,IN-NORTH,74,19,2024-08-14
PUMA-SKU-00071,PUMA,IN-SOUTH,75,20,2024-08-15
NIKE-SKU-00072,NIKE,IN-EAST,76,21,2024-08-16
PUMA-SKU-00073,PUMA,IN-WEST,77,22,2024-08-17
NIKE-SKU-00074,NIKE,IN-NORTH,78,23,2024-08-18
PUMA-SKU-00075,PUMA,IN-SOUTH,79,24,2024-08-19
NIKE-SKU-00076,NIKE,IN-EAST,80,25,2024-08-20
PUMA-SKU-00077,PUMA,IN-WEST,81,26,2024-08-21
NIKE-SKU-00078,NIKE,IN-NORTH,82,27,2024-08-22
PUMA-SKU-00079,PUMA,IN-SOUTH,83,28,2024-08-23
NIKE-SKU-00080,NIKE,IN-EAST,84,29,2024-08-24
PUMA-SKU-00081,PUMA,IN-WEST,85,30,2024-08-25
NIKE-SKU-00082,NIKE,IN-NORTH,86,31,2024-08-26
PUMA-SKU-00083,PUMA,IN-SOUTH,87,32,2024-08-27
NIKE-SKU-00084,NIKE,IN-EAST,88,33,2024-08-28
PUMA-SKU-00085,PUMA,IN-WEST,89,34,2024-08-01
NIKE-SKU-00086,NIKE,IN-NORTH,90,35,2024-08-02
PUMA-SKU-00087,PUMA,IN-SOUTH,91,36,2024-08-03
NIKE-SKU-00088,NIKE,IN-EAST,92,37,2024-08-04
PUMA-SKU-00089,PUMA,IN-WEST,93,38,2024-08-05
NIKE-SKU-00090,NIKE,IN-NORTH,94,39,2024-08-06
PUMA-SKU-00091,PUMA,IN-SOUTH,95,40,2024-08-07
NIKE-SKU-00092,NIKE,IN-EAST,96,41,2024-08-08
PUMA-SKU-00093,PUMA,IN-WEST,97,42,2024-08-09
NIKE-SKU-00094,NIKE,IN-NORTH,98,43,2024-08-10
PUMA-SKU-00095,PUMA,IN-SOUTH,99,44,2024-08-11
NIKE-SKU-00096,NIKE,IN-EAST,100,45,2024-08-12
