vendor_id,order_id,customer_id,commission_pct,commission_inr,brand_code
V-PUMA-01,ORD-00000001,1,5,50,PUMA
V-NIKE-01,ORD-00000002,2,6,57,NIKE
V-PUMA-01,ORD-00000003,3,7,64,PUMA
V-NIKE-01,ORD-00000004,4,8,71,NIKE
V-PUMA-01,ORD-00000005,5,9,78,PUMA
V-NIKE-01,ORD-00000006,6,10,85,NIKE
V-PUMA-01,ORD-00000007,7,11,92,PUMA
V-NIKE-01,ORD-00000008,8,12,99,NIKE
V-PUMA-01,ORD-00000009,9,13,106,PUMA
V-NIKE-01,ORD-00000010,10,14,113,NIKE
V-PUMA-01,ORD-00000011,11,15,120,PUMA
V-NIKE-01,ORD-00000012,12,16,127,NIKE
V-PUMA-01,ORD-00000013,13,17,134,PUMA
V-NIKE-01,ORD-00000014,14,18,141,NIKE
V-PUMA-01,ORD-00000015,15,19,148,PUMA
V-NIKE-01,ORD-00000016,16,5,155,NIKE
V-PUMA-01,ORD-00000017,17,6,162,PUMA
V-NIKE-01,ORD-00000018,18,7,169,NIKE
V-PUMA-01,ORD-00000019,19,8,176,PUMA
V-NIKE-01,ORD-00000020,20,9,183,NIKE
V-PUMA-01,ORD-00000021,21,10,190,PUMA
V-NIKE-01,ORD-00000022,22,11,197,NIKE
V-PUMA-01,ORD-00000023,23,12,204,PUMA
V-NIKE-01,ORD-00000024,24,13,211,NIKE
V-PUMA-01,ORD-00000025,25,14,218,PUMA
V-NIKE-01,ORD-00000026,26,15,225,NIKE
V-PUMA-01,ORD-00000027,27,16,232,PUMA
V-NIKE-01,ORD-00000028,28,17,239,NIKE
V-PUMA-01,ORD-00000029,29,18,246,PUMA
V-NIKE-01,ORD-00000030,30,19,253,NIKE
V-PUMA-01,ORD-00000031,31,5,260,PUMA
V-NIKE-01,ORD-00000032,32,6,267,NIKE
V-PUMA-01,ORD-00000033,33,7,274,PUMA
V-NIKE-01,ORD-00000034,34,8,281,NIKE
V-PUMA-01,ORD-00000035,35,9,288,PUMA
V-NIKE-01,ORD-00000036,36,10,295,NIKE
V-PUMA-01,ORD-00000037,37,11,302,PUMA
V-NIKE-01,ORD-00000038,38,12,309,NIKE
V-PUMA-01,ORD-00000039,39,13,316,PUMA
V-NIKE-01,ORD-00000040,40,14,323,NIKE
V-PUMA-01,ORD-00000041,41,15,330,PUMA
V-NIKE-01,ORD-00000042,42,16,337,NIKE
V-PUMA-01,ORD-00000043,43,17,344,PUMA
V-NIKE-01,ORD-00000044,44,18,351,NIKE
V-PUMA-01,ORD-00000045,45,19,358,PUMA
V-NIKE-01,ORD-00000046,46,5,365,NIKE
V-PUMA-01,ORD-00000047,47,6,372,PUMA
V-NIKE-01,ORD-00000048,48,7,379,NIKE
V-PUMA-01,ORD-00000049,49,8,386,PUMA
V-NIKE-01,ORD-00000050,50,9,393,NIKE
V-PUMA-01,ORD-00000051,51,10,400,PUMA
V-NIKE-01,ORD-00000052,52,11,407,NIKE
V-PUMA-01,ORD-00000053,53,12,414,PUMA
V-NIKE-01,ORD-00000054,54,13,421,NIKE
V-PUMA-01,ORD-00000055,55,14,428,PUMA
V-NIKE-01,ORD-00000056,56,15,435,NIKE
V-PUMA-01,ORD-00000057,57,16,442,PUMA
V-NIKE-01,ORD-00000058,58,17,449,NIKE
V-PUMA-01,ORD-00000059,59,18,456,PUMA
V-NIKE-01,ORD-00000060,60,19,463,NIKE
V-PUMA-01,ORD-00000061,61,5,470,PUMA
V-NIKE-01,ORD-00000062,62,6,477,NIKE
V-PUMA-01,ORD-00000063,63,7,484,PUMA
V-NIKE-01,ORD-00000064,64,8,491,NIKE
V-PUMA-01,ORD-00000065,65,9,498,PUMA
V-NIKE-01,ORD-00000066,66,10,505,NIKE
V-PUMA-01,ORD-00000067,67,11,512,PUMA
V-NIKE-01,ORD-00000068,68,12,519,NIKE
V-PUMA-01,ORD-00000069,69,13,526,PUMA
V-NIKE-01,ORD-00000070,70,14,533,NIKE
V-PUMA-01,ORD-00000071,71,15,540,PUMA
V-NIKE-01,ORD-00000072,72,16,547,NIKE
V-PUMA-01,ORD-00000073,73,17,554,PUMA
V-NIKE-01,ORD-00000074,74,18,561,NIKE
V-PUMA-01,ORD-00000075,75,19,568,PUMA
V-NIKE-01,ORD-00000076,76,5,575,NIKE
V-PUMA-01,ORD-00000077,77,6,582,PUMA
V-NIKE-01,ORD-00000078,78,7,589,NIKE
V-PUMA-01,ORD-00000079,79,8,596,PUMA
V-NIKE-01,ORD-00000080,80,9,603,NIKE
V-PUMA-01,ORD-00000081,81,10,610,PUMA
V-NIKE-01,ORD-00000082,82,11,617,NIKE
V-PUMA-01,ORD-00000083,83,12,624,PUMA
V-NIKE-01,ORD-00000084,84,13,631,NIKE
V-PUMA-01,ORD-00000085,85,14,638,PUMA
V-NIKE-01,ORD-00000086,86,15,645,NIKE
V-PUMA-01,ORD-00000087,87,16,652,PUMA
V-NIKE-01,ORD-00000088,88,17,659,NIKE
V-PUMA-01,ORD-00000089,89,18,666,PUMA
V-NIKE-01,ORD-00000090,90,19,673,NIKE
V-PUMA-01,ORD-00000091,91,5,680,PUMA
V-NIKE-01,ORD-00000092,92,6,687,NIKE
V-PUMA-01,ORD-00000093,93,7,694,PUMA
V-NIKE-01,ORD-00000094,94,8,701,NIKE
V-PUMA-01,ORD-00000095,95,9,708,PUMA
V-NIKE-01,ORD-00000096,96,10,715,NIKE
V-PUMA-01,ORD-00000097,97,11,722,PUMA
V-NIKE-01,ORD-00000098,98,12,729,NIKE
V-PUMA-01,ORD-00000099,99,13,736,PUMA
V-NIKE-01,ORD-00000100,100,14,743,NIKE
V-PUMA-01,ORD-00000101,101,15,750,PUMA
V-NIKE-01,ORD-00000102,102,16,757,NIKE
V-PUMA-01,ORD-00000103,103,17,764,PUMA
V-NIKE-01,ORD-00000104,104,18,771,NIKE
V-PUMA-01,ORD-00000105,105,19,778,PUMA
V-NIKE-01,ORD-00000106,106,5,785,NIKE
V-PUMA-01,ORD-00000107,107,6,792,PUMA
V-NIKE-01,ORD-00000108,108,7,799,NIKE
V-PUMA-01,ORD-00000109,109,8,806,PUMA
V-NIKE-01,ORD-00000110,110,9,813,NIKE
V-PUMA-01,ORD-00000111,111,10,820,PUMA
V-NIKE-01,ORD-00000112,112,11,827,NIKE
V-PUMA-01,ORD-00000113,113,12,834,PUMA
V-NIKE-01,ORD-00000114,114,13,841,NIKE
V-PUMA-01,ORD-00000115,115,14,848,PUMA
V-NIKE-01,ORD-00000116,116,15,855,NIKE
V-PUMA-01,ORD-00000117,117,16,862,PUMA
V-NIKE-01,ORD-00000118,118,17,869,NIKE
V-PUMA-01,ORD-00000119,119,18,876,PUMA
V-NIKE-01,ORD-00000120,120,19,883,NIKE
V-PUMA-01,ORD-00000121,121,5,890,PUMA
