po_id,vendor_id,sku,qty,status,brand_code,warehouse_id
PO-000001,V-PUMA-01,PUMA-SKU-00001,10,open,PUMA,WH-MUM-01
PO-000002,V-NIKE-01,NIKE-SKU-00002,11,shipped,NIKE,WH-DEL-01
PO-000003,V-PUMA-01,PUMA-SKU-00003,12,received,PUMA,WH-BLR-01
PO-000004,V-NIKE-01,NIKE-SKU-00004,13,closed,NIKE,WH-CHN-01
PO-000005,V-PUMA-01,PUMA-SKU-00005,14,open,PUMA,WH-KOL-01
PO-000006,V-NIKE-01,NIKE-SKU-00006,15,shipped,NIKE,WH-MUM-01
PO-000007,V-PUMA-01,PUMA-SKU-00007,16,received,PUMA,WH-DEL-01
PO-000008,V-NIKE-01,NIKE-SKU-00008,17,closed,NIKE,WH-BLR-01
PO-000009,V-PUMA-01,PUMA-SKU-00009,18,open,PUMA,WH-CHN-01
PO-000010,V-NIKE-01,NIKE-SKU-00010,19,shipped,NIKE,WH-KOL-01
PO-000011,V-PUMA-01,PUMA-SKU-00011,20,received,PUMA,WH-MUM-01
PO-000012,V-NIKE-01,NIKE-SKU-00012,21,closed,NIKE,WH-DEL-01
PO-000013,V-PUMA-01,PUMA-SKU-00013,22,open,PUMA,WH-BLR-01
PO-000014,V-NIKE-01,NIKE-SKU-00014,23,shipped,NIKE,WH-CHN-01
PO-000015,V-PUMA-01,PUMA-SKU-00015,24,received,PUMA,WH-KOL-01
PO-000016,V-NIKE-01,NIKE-SKU-00016,25,closed,NIKE,WH-MUM-01
PO-000017,V-PUMA-01,PUMA-SKU-00017,26,open,PUMA,WH-DEL-01
PO-000018,V-NIKE-01,NIKE-SKU-00018,27,shipped,NIKE,WH-BLR-01
PO-000019,V-PUMA-01,PUMA-SKU-00019,28,received,PUMA,WH-CHN-01
PO-000020,V-NIKE-01,NIKE-SKU-00020,29,closed,NIKE,WH-KOL-01
PO-000021,V-PUMA-01,PUMA-SKU-00021,30,open,PUMA,WH-MUM-01
PO-000022,V-NIKE-01,NIKE-SKU-00022,31,shipped,NIKE,WH-DEL-01
PO-000023,V-PUMA-01,PUMA-SKU-00023,32,received,PUMA,WH-BLR-01
PO-000024,V-NIKE-01,NIKE-SKU-00024,33,closed,NIKE,WH-CHN-01
PO-000025,V-PUMA-01,PUMA-SKU-00025,34,open,PUMA,WH-KOL-01
PO-000026,V-NIKE-01,NIKE-SKU-00026,35,shipped,NIKE,WH-MUM-01
PO-000027,V-PUMA-01,PUMA-SKU-00027,36,received,PUMA,WH-DEL-01
PO-000028,V-NIKE-01,NIKE-SKU-00028,37,closed,NIKE,WH-BLR-01
PO-000029,V-PUMA-01,PUMA-SKU-00029,38,open,PUMA,WH-CHN-01
PO-000030,V-NIKE-01,NIKE-SKU-00030,39,shipped,NIKE,WH-KOL-01
PO-000031,V-PUMA-01,PUMA-SKU-00031,40,received,PUMA,WH-MUM-01
PO-000032,V-NIKE-01,NIKE-SKU-00032,41,closed,NIKE,WH-DEL-01
PO-000033,V-PUMA-01,PUMA-SKU-00033,42,open,PUMA,WH-BLR-01
PO-000034,V-NIKE-01,NIKE-SKU-00034,43,shipped,NIKE,WH-CHN-01
PO-000035,V-PUMA-01,PUMA-SKU-00035,44,received,PUMA,WH-KOL-01
PO-000036,V-NIKE-01,NIKE-SKU-00036,45,closed,NIKE,WH-MUM-01
PO-000037,V-PUMA-01,PUMA-SKU-00037,46,open,PUMA,WH-DEL-01
PO-000038,V-NIKE-01,NIKE-SKU-00038,47,shipped,NIKE,WH-BLR-01
PO-000039,V-PUMA-01,PUMA-SKU-00039,48,received,PUMA,WH-CHN-01
PO-000040,V-NIKE-01,NIKE-SKU-00040,49,closed,NIKE,WH-KOL-01
PO-000041,V-PUMA-01,PUMA-SKU-00041,50,open,PUMA,WH-MUM-01
PO-000042,V-NIKE-01,NIKE-SKU-00042,51,shipped,NIKE,WH-DEL-01
PO-000043,V-PUMA-01,PUMA-SKU-00043,52,received,PUMA,WH-BLR-01
PO-000044,V-NIKE-01,NIKE-SKU-00044,53,closed,NIKE,WH-CHN-01
PO-000045,V-PUMA-01,PUMA-SKU-00045,54,open,PUMA,WH-KOL-01
PO-000046,V-NIKE-01,NIKE-SKU-00046,55,shipped,NIKE,WH-MUM-01
PO-000047,V-PUMA-01,PUMA-SKU-00047,56,received,PUMA,WH-DEL-01
PO-000048,V-NIKE-01,NIKE-SKU-00048,57,closed,NIKE,WH-BLR-01
PO-000049,V-PUMA-01,PUMA-SKU-00049,58,open,PUMA,WH-CHN-01
PO-000050,V-NIKE-01,NIKE-SKU-00050,59,shipped,NIKE,WH-KOL-01
PO-000051,V-PUMA-01,PUMA-SKU-00051,60,received,PUMA,WH-MUM-01
PO-000052,V-NIKE-01,NIKE-SKU-00052,61,closed,NIKE,WH-DEL-01
PO-000053,V-PUMA-01,PUMA-SKU-00053,62,open,PUMA,WH-BLR-01
PO-000054,V-NIKE-01,NIKE-SKU-00054,63,shipped,NIKE,WH-CHN-01
PO-000055,V-PUMA-01,PUMA-SKU-00055,64,received,PUMA,WH-KOL-01
PO-000056,V-NIKE-01,NIKE-SKU-00056,65,closed,NIKE,WH-MUM-01
PO-000057,V-PUMA-01,PUMA-SKU-00057,66,open,PUMA,WH-DEL-01
PO-000058,V-NIKE-01,NIKE-SKU-00058,67,shipped,NIKE,WH-BLR-01
PO-000059,V-PUMA-01,PUMA-SKU-00059,68,received,PUMA,WH-CHN-01
PO-000060,V-NIKE-01,NIKE-SKU-00060,69,closed,NIKE,WH-KOL-01
PO-000061,V-PUMA-01,PUMA-SKU-00061,70,open,PUMA,WH-MUM-01
PO-000062,V-NIKE-01,NIKE-SKU-00062,71,shipped,NIKE,WH-DEL-01
PO-000063,V-PUMA-01,PUMA-SKU-00063,72,received,PUMA,WH-BLR-01
PO-000064,V-NIKE-01,NIKE-SKU-00064,73,closed,NIKE,WH-CHN-01
PO-000065,V-PUMA-01,PUMA-SKU-00065,74,open,PUMA,WH-KOL-01
PO-000066,V-NIKE-01,NIKE-SKU-00066,75,shipped,NIKE,WH-MUM-01
PO-000067,V-PUMA-01,PUMA-SKU-00067,76,received,PUMA,WH-DEL-01
PO-000068,V-NIKE-01,NIKE-SKU-00068,77,closed,NIKE,WH-BLR-01
PO-000069,V-PUMA-01,PUMA-SKU-00069,78,open,PUMA,WH-CHN-01
PO-000070,V-NIKE-01,NIKE-SKU-00070,79,shipped,NIKE,WH-KOL-01
PO-000071,V-PUMA-01,PUMA-SKU-00071,80,received,PUMA,WH-MUM-01
PO-000072,V-NIKE-01,NIKE-SKU-00072,81,closed,NIKE,WH-DEL-01
PO-000073,V-PUMA-01,PUMA-SKU-00073,82,open,PUMA,WH-BLR-01
PO-000074,V-NIKE-01,NIKE-SKU-00074,83,shipped,NIKE,WH-CHN-01
PO-000075,V-PUMA-01,PUMA-SKU-00075,84,received,PUMA,WH-KOL-01
PO-000076,V-NIKE-01,NIKE-SKU-00076,85,closed,NIKE,WH-MUM-01
PO-000077,V-PUMA-01,PUMA-SKU-00077,86,open,PUMA,WH-DEL-01
PO-000078,V-NIKE-01,NIKE-SKU-00078,87,shipped,NIKE,WH-BLR-01
PO-000079,V-PUMA-01,PUMA-SKU-00079,88,received,PUMA,WH-CHN-01
PO-000080,V-NIKE-01,NIKE-SKU-00080,89,closed,NIKE,WH-KOL-01
PO-000081,V-PUMA-01,PUMA-SKU-00081,90,open,PUMA,WH-MUM-01
PO-000082,V-NIKE-01,NIKE-SKU-00082,91,shipped,NIKE,WH-DEL-01
PO-000083,V-PUMA-01,PUMA-SKU-00083,92,received,PUMA,WH-BLR-01
PO-000084,V-NIKE-01,NIKE-SKU-00084,93,closed,NIKE,WH-CHN-01
PO-000085,V-PUMA-01,PUMA-SKU-00085,94,open,PUMA,WH-KOL-01
PO-000086,V-NIKE-01,NIKE-SKU-00086,95,shipped,NIKE,WH-MUM-01
PO-000087,V-PUMA-01,PUMA-SKU-00087,96,received,PUMA,WH-DEL-01
PO-000088,V-NIKE-01,NIKE-SKU-00088,97,closed,NIKE,WH-BLR-01
PO-000089,V-PUMA-01,PUMA-SKU-00089,98,open,PUMA,WH-CHN-01
PO-000090,V-NIKE-01,NIKE-SKU-00090,99,shipped,NIKE,WH-KOL-01
PO-000091,V-PUMA-01,PUMA-SKU-00091,100,received,PUMA,WH-MUM-01
PO-000092,V-NIKE-01,NIKE-SKU-00092,101,closed,NIKE,WH-DEL-01
PO-000093,V-PUMA-01,PUMA-SKU-00093,102,open,PUMA,WH-BLR-01
PO-000094,V-NIKE-01,NIKE-SKU-00094,103,shipped,NIKE,WH-CHN-01
PO-000095,V-PUMA-01,PUMA-SKU-00095,104,received,PUMA,WH-KOL-01
PO-000096,V-NIKE-01,NIKE-SKU-00096,105,closed,NIKE,WH-MUM-01
PO-000097,V-PUMA-01,PUMA-SKU-00097,106,open,PUMA,WH-DEL-01
PO-000098,V-NIKE-01,NIKE-SKU-00098,107,shipped,NIKE,WH-BLR-01
PO-000099,V-PUMA-01,PUMA-SKU-00099,108,received,PUMA,WH-CHN-01
PO-000100,V-NIKE-01,NIKE-SKU-00100,109,closed,NIKE,WH-KOL-01
PO-000101,V-PUMA-01,PUMA-SKU-00101,110,open,PUMA,WH-MUM-01
PO-000102,V-NIKE-01,NIKE-SKU-00102,111,shipped,NIKE,WH-DEL-01
PO-000103,V-PUMA-01,PUMA-SKU-00103,112,received,PUMA,WH-BLR-01
PO-000104,V-NIKE-01,NIKE-SKU-00104,113,closed,NIKE,WH-CHN-01
PO-000105,V-PUMA-01,PUMA-SKU-00105,114,open,PUMA,WH-KOL-01
PO-000106,V-NIKE-01,NIKE-SKU-00106,115,shipped,NIKE,WH-MUM-01
PO-000107,V-PUMA-01,PUMA-SKU-00107,116,received,PUMA,WH-DEL-01
PO-000108,V-NIKE-01,NIKE-SKU-00108,117,closed,NIKE,WH-BLR-01
PO-000109,V-PUMA-01,PUMA-SKU-00109,118,open,PUMA,WH-CHN-01
PO-000110,V-NIKE-01,NIKE-SKU-00110,119,shipped,NIKE,WH-KOL-01
PO-000111,V-PUMA-01,PUMA-SKU-00111,120,received,PUMA,WH-MUM-01
PO-000112,V-NIKE-01,NIKE-SKU-00112,121,closed,NIKE,WH-DEL-01
PO-000113,V-PUMA-01,PUMA-SKU-00113,122,open,PUMA,WH-BLR-01
PO-000114,V-NIKE-01,NIKE-SKU-00114,123,shipped,NIKE,WH-CHN-01
PO-000115,V-PUMA-01,PUMA-SKU-00115,124,received,PUMA,WH-KOL-01
PO-000116,V-NIKE-01,NIKE-SKU-00116,125,closed,NIKE,WH-MUM-01
PO-000117,V-PUMA-01,PUMA-SKU-00117,126,open,PUMA,WH-DEL-01
PO-000118,V-NIKE-01,NIKE-SKU-00118,127,shipped,NIKE,WH-BLR-01
PO-000119,V-PUMA-01,PUMA-SKU-00119,128,received,PUMA,WH-CHN-01
PO-000120,V-NIKE-01,NIKE-SKU-00120,129,closed,NIKE,WH-KOL-01
PO-000121,V-PUMA-01,PUMA-SKU-00121,130,open,PUMA,WH-MUM-01
PO-000122,V-NIKE-01,NIKE-SKU-00122,131,shipped,NIKE,WH-DEL-01
PO-000123,V-PUMA-01,PUMA-SKU-00123,132,received,PUMA,WH-BLR-01
PO-000124,V-NIKE-01,NIKE-SKU-00124,133,closed,NIKE,WH-CHN-01
PO-000125,V-PUMA-01,PUMA-SKU-00125,134,open,PUMA,WH-KOL-01
PO-000126,V-NIKE-01,NIKE-SKU-00126,135,shipped,NIKE,WH-MUM-01
PO-000127,V-PUMA-01,PUMA-SKU-00127,136,received,PUMA,WH-DEL-01
PO-000128,V-NIKE-01,NIKE-SKU-00128,137,closed,NIKE,WH-BLR-01
PO-000129,V-PUMA-01,PUMA-SKU-00129,138,open,PUMA,WH-CHN-01
PO-000130,V-NIKE-01,NIKE-SKU-00130,139,shipped,NIKE,WH-KOL-01
PO-000131,V-PUMA-01,PUMA-SKU-00131,140,received,PUMA,WH-MUM-01
PO-000132,V-NIKE-01,NIKE-SKU-00132,141,closed,NIKE,WH-DEL-01
PO-000133,V-PUMA-01,PUMA-SKU-00133,142,open,PUMA,WH-BLR-01
PO-000134,V-NIKE-01,NIKE-SKU-00134,143,shipped,NIKE,WH-CHN-01
PO-000135,V-PUMA-01,PUMA-SKU-00135,144,received,PUMA,WH-KOL-01
PO-000136,V-NIKE-01,NIKE-SKU-00136,145,closed,NIKE,WH-MUM-01
PO-000137,V-PUMA-01,PUMA-SKU-00137,146,open,PUMA,WH-DEL-01
PO-000138,V-NIKE-01,NIKE-SKU-00138,147,shipped,NIKE,WH-BLR-01
PO-000139,V-PUMA-01,PUMA-SKU-00139,148,received,PUMA,WH-CHN-01
PO-000140,V-NIKE-01,NIKE-SKU-00140,149,closed,NIKE,WH-KOL-01
PO-000141,V-PUMA-01,PUMA-SKU-00141,150,open,PUMA,WH-MUM-01
PO-000142,V-NIKE-01,NIKE-SKU-00142,151,shipped,NIKE,WH-DEL-01
PO-000143,V-PUMA-01,PUMA-SKU-00143,152,received,PUMA,WH-BLR-01
PO-000144,V-NIKE-01,NIKE-SKU-00144,153,closed,NIKE,WH-CHN-01
PO-000145,V-PUMA-01,PUMA-SKU-00145,154,open,PUMA,WH-KOL-01
PO-000146,V-NIKE-01,NIKE-SKU-00146,155,shipped,NIKE,WH-MUM-01
PO-000147,V-PUMA-01,PUMA-SKU-00147,156,received,PUMA,WH-DEL-01
PO-000148,V-NIKE-01,NIKE-SKU-00148,157,closed,NIKE,WH-BLR-01
PO-000149,V-PUMA-01,PUMA-SKU-00149,158,open,PUMA,WH-CHN-01
PO-000150,V-NIKE-01,NIKE-SKU-00150,159,shipped,NIKE,WH-KOL-01
PO-000151,V-PUMA-01,PUMA-SKU-00151,160,received,PUMA,WH-MUM-01
PO-000152,V-NIKE-01,NIKE-SKU-00152,161,closed,NIKE,WH-DEL-01
PO-000153,V-PUMA-01,PUMA-SKU-00153,162,open,PUMA,WH-BLR-01
PO-000154,V-NIKE-01,NIKE-SKU-00154,163,shipped,NIKE,WH-CHN-01
PO-000155,V-PUMA-01,PUMA-SKU-00155,164,received,PUMA,WH-KOL-01
PO-000156,V-NIKE-01,NIKE-SKU-00156,165,closed,NIKE,WH-MUM-01
PO-000157,V-PUMA-01,PUMA-SKU-00157,166,open,PUMA,WH-DEL-01
PO-000158,V-NIKE-01,NIKE-SKU-00158,167,shipped,NIKE,WH-BLR-01
PO-000159,V-PUMA-01,PUMA-SKU-00159,168,received,PUMA,WH-CHN-01
PO-000160,V-NIKE-01,NIKE-SKU-00160,169,closed,NIKE,WH-KOL-01
PO-000161,V-PUMA-01,PUMA-SKU-00161,170,open,PUMA,WH-MUM-01
PO-000162,V-NIKE-01,NIKE-SKU-00162,171,shipped,NIKE,WH-DEL-01
PO-000163,V-PUMA-01,PUMA-SKU-00163,172,received,PUMA,WH-BLR-01
PO-000164,V-NIKE-01,NIKE-SKU-00164,173,closed,NIKE,WH-CHN-01
PO-000165,V-PUMA-01,PUMA-SKU-00165,174,open,PUMA,WH-KOL-01
PO-000166,V-NIKE-01,NIKE-SKU-00166,175,shipped,NIKE,WH-MUM-01
PO-000167,V-PUMA-01,PUMA-SKU-00167,176,received,PUMA,WH-DEL-01
PO-000168,V-NIKE-01,NIKE-SKU-00168,177,closed,NIKE,WH-BLR-01
PO-000169,V-PUMA-01,PUMA-SKU-00169,178,open,PUMA,WH-CHN-01
PO-000170,V-NIKE-01,NIKE-SKU-00170,179,shipped,NIKE,WH-KOL-01
PO-000171,V-PUMA-01,PUMA-SKU-00171,180,received,PUMA,WH-MUM-01
PO-000172,V-NIKE-01,NIKE-SKU-00172,181,closed,NIKE,WH-DEL-01
PO-000173,V-PUMA-01,PUMA-SKU-00173,182,open,PUMA,WH-BLR-01
PO-000174,V-NIKE-01,NIKE-SKU-00174,183,shipped,NIKE,WH-CHN-01
PO-000175,V-PUMA-01,PUMA-SKU-00175,184,received,PUMA,WH-KOL-01
PO-000176,V-NIKE-01,NIKE-SKU-00176,185,closed,NIKE,WH-MUM-01
PO-000177,V-PUMA-01,PUMA-SKU-00177,186,open,PUMA,WH-DEL-01
PO-000178,V-NIKE-01,NIKE-SKU-00178,187,shipped,NIKE,WH-BLR-01
PO-000179,V-PUMA-01,PUMA-SKU-00179,188,received,PUMA,WH-CHN-01
PO-000180,V-NIKE-01,NIKE-SKU-00180,189,closed,NIKE,WH-KOL-01
PO-000181,V-PUMA-01,PUMA-SKU-00181,190,open,PUMA,WH-MUM-01
PO-000182,V-NIKE-01,NIKE-SKU-00182,191,shipped,NIKE,WH-DEL-01
PO-000183,V-PUMA-01,PUMA-SKU-00183,192,received,PUMA,WH-BLR-01
PO-000184,V-NIKE-01,NIKE-SKU-00184,193,closed,NIKE,WH-CHN-01
PO-000185,V-PUMA-01,PUMA-SKU-00185,194,open,PUMA,WH-KOL-01
PO-000186,V-NIKE-01,NIKE-SKU-00186,195,shipped,NIKE,WH-MUM-01
PO-000187,V-PUMA-01,PUMA-SKU-00187,196,received,PUMA,WH-DEL-01
PO-000188,V-NIKE-01,NIKE-SKU-00188,197,closed,NIKE,WH-BLR-01
PO-000189,V-PUMA-01,PUMA-SKU-00189,198,open,PUMA,WH-CHN-01
PO-000190,V-NIKE-01,NIKE-SKU-00190,199,shipped,NIKE,WH-KOL-01
PO-000191,V-PUMA-01,PUMA-SKU-00191,200,received,PUMA,WH-MUM-01
PO-000192,V-NIKE-01,NIKE-SKU-00192,201,closed,NIKE,WH-DEL-01
PO-000193,V-PUMA-01,PUMA-SKU-00193,202,open,PUMA,WH-BLR-01
PO-000194,V-NIKE-01,NIKE-SKU-00194,203,shipped,NIKE,WH-CHN-01
PO-000195,V-PUMA-01,PUMA-SKU-00195,204,received,PUMA,WH-KOL-01
PO-000196,V-NIKE-01,NIKE-SKU-00196,205,closed,NIKE,WH-MUM-01
PO-000197,V-PUMA-01,PUMA-SKU-00197,206,open,PUMA,WH-DEL-01
PO-000198,V-NIKE-01,NIKE-SKU-00198,207,shipped,NIKE,WH-BLR-01
PO-000199,V-PUMA-01,PUMA-SKU-00199,208,received,PUMA,WH-CHN-01
PO-000200,V-NIKE-01,NIKE-SKU-00200,209,closed,NIKE,WH-KOL-01
PO-000201,V-PUMA-01,PUMA-SKU-00201,10,open,PUMA,WH-MUM-01
PO-000202,V-NIKE-01,NIKE-SKU-00202,11,shipped,NIKE,WH-DEL-01
PO-000203,V-PUMA-01,PUMA-SKU-00203,12,received,PUMA,WH-BLR-01
PO-000204,V-NIKE-01,NIKE-SKU-00204,13,closed,NIKE,WH-CHN-01
PO-000205,V-PUMA-01,PUMA-SKU-00205,14,open,PUMA,WH-KOL-01
PO-000206,V-NIKE-01,NIKE-SKU-00206,15,shipped,NIKE,WH-MUM-01
PO-000207,V-PUMA-01,PUMA-SKU-00207,16,received,PUMA,WH-DEL-01
PO-000208,V-NIKE-01,NIKE-SKU-00208,17,closed,NIKE,WH-BLR-01
PO-000209,V-PUMA-01,PUMA-SKU-00209,18,open,PUMA,WH-CHN-01
PO-000210,V-NIKE-01,NIKE-SKU-00210,19,shipped,NIKE,WH-KOL-01
PO-000211,V-PUMA-01,PUMA-SKU-00211,20,received,PUMA,WH-MUM-01
PO-000212,V-NIKE-01,NIKE-SKU-00212,21,closed,NIKE,WH-DEL-01
PO-000213,V-PUMA-01,PUMA-SKU-00213,22,open,PUMA,WH-BLR-01
PO-000214,V-NIKE-01,NIKE-SKU-00214,23,shipped,NIKE,WH-CHN-01
